Site No	Site Name	Service	Class	Modulation	Area Served	Commenced Date
2078	Mt Panorama RT	ABC Triple J	C	FM	Bathurst	01/03/2002 0:00
2040	Gore Hill	ABC Classic FM	A	FM	Sydney	29/06/1994 23:00
2052	Knights Hill	ABC Classic FM	B	FM	Illawarra	01/03/1983 1:00
2067	Gaanha bula Mt Canobolas	ABC Classic FM	B	FM	Central Tablelands	31/07/1982 23:00
2078	Mt Panorama RT	ABC Classic FM	C	FM	Bathurst	01/03/2002 0:00
2028	Cumnock MF	ABC Local Radio	B	AM	Cumnock	07/10/1970 1:00
2052	Knights Hill	ABC Local Radio	B	FM	Illawarra	14/05/1991 23:00
2059	Lithgow MF	ABC Local Radio	C	AM	Lithgow (City)	07/10/1970 1:00
2060	Liverpool MF	ABC Local Radio	A	AM	Sydney	07/10/1970 1:00
2049	Mt Cumbermelon	ABC Local Radio	D	FM	Kandos	27/05/1997 23:00
2083	Endicotts Hill	ABC Local Radio	D	FM	Mudgee	03/02/1992 0:00
2093	Garlands Hill	ABC Local Radio	D	FM	Portland/Wallerawang	12/03/1993 0:00
2058	Littleton	ABC Radio National	C	FM	Lithgow	12/03/1993 1:00
2060	Liverpool MF	ABC Radio National	A	AM	Sydney	07/10/1970 1:00
2067	Gaanha bula Mt Canobolas	ABC Radio National	B	FM	Central Tablelands	30/12/1990 0:00
2078	Mt Panorama RT	ABC Radio National	C	FM	Bathurst	27/05/1993 23:00
2106	Basin View MF	ABC Radio National	B	AM	Nowra	31/01/1989 0:00
2116	Windang Town MF	ABC Radio National	B	AM	Wollongong	07/10/1970 1:00
2023	Condobolin	ABC Radio National	D	FM	Condobolin	28/05/1996 23:00
2049	Mt Cumbermelon	ABC Radio National	D	FM	Kandos	16/04/1997 23:00
2093	Garlands Hill	ABC Radio National	D	FM	Portland/Wallerawang	02/07/1991 23:00
2015	Brokers Nose	ABC Digital Television	C	COFDM	Wollongong	08/01/2014 15:30
2040	Gore Hill	ABC Digital Television	A	COFDM	Sydney	01/07/2001 23:00
2052	Knights Hill	ABC Digital Television	B	COFDM	Illawarra	10/07/2014 10:30
2058	Littleton	ABC Digital Television	C	COFDM	Lithgow	01/06/2004 9:00
2067	Gaanha bula Mt Canobolas	ABC Digital Television	B	COFDM	Central Tablelands	01/11/2003 9:00
2070	Mt Gibraltar WIN	ABC Digital Television	C	COFDM	Bowral/Mittagong	17/04/2014 19:33
2088	North Head	ABC Digital Television	B	COFDM	Manly/Mosman	01/08/2002 9:00
2110	Little Forest Trig	ABC Digital Television	C	COFDM	Ulladulla	01/09/2003 9:00
2136	Artarmon TXA	ABC Digital Television	A	COFDM	Sydney	01/12/2000 0:00
2170	Bathurst East WIN	ABC Digital Television	C	COFDM	Bathurst	01/05/2004 9:00
2257	Elan	ABC Digital Television	B	COFDM	Kings Cross	15/08/2002 8:00
2023	Condobolin	ABC Digital Television	D	COFDM	Condobolin	30/10/2014 15:50
2049	Mt Cumbermelon	ABC Digital Television	D	COFDM	Kandos	23/10/2014 15:30
2083	Endicotts Hill	ABC Digital Television	D	COFDM	Mudgee	22/11/2014 13:00
2090	Cambewarra Lookout	ABC Digital Television	D	COFDM	Nowra North	27/08/2014 15:15
2093	Garlands Hill	ABC Digital Television	D	COFDM	Portland/Wallerawang	22/11/2014 15:30
2099	Stanwell Park WIN	ABC Digital Television	D	COFDM	Stanwell Park	04/07/2014 20:27
2119	Vale Of Clwydd	ABC Digital Television	D	COFDM	Lithgow East	19/06/2014 15:28
2159	Bellevue Hill WIN	ABC Digital Television	D	COFDM	Cowra	24/10/2014 15:20
2160	Falls Hill	ABC Digital Television	D	COFDM	Oberon	03/10/2014 15:30
2025	Radio Hill RT	WIN Digital Television	D	COFDM	Cooma	11/10/2021 7:00
2031	Bimmil Hill	WIN Digital Television	D	COFDM	Eden	11/10/2021 7:00
2071	Mt Gillamatong	WIN Digital Television	D	COFDM	Braidwood	11/10/2021 7:00
2087	Buckeridge Lookout	WIN Digital Television	D	COFDM	Narooma	11/10/2021 7:00
2105	Thredbo	WIN Digital Television	D	COFDM	Thredbo	11/10/2021 7:00
2118	Young	WIN Digital Television	D	COFDM	Young	11/10/2021 7:00
2141	Webbs Hill	WIN Digital Television	D	COFDM	Tumut	11/10/2021 7:00
2291	The Gap WIN	WIN Digital Television	D	COFDM	Adelong	11/10/2021 7:00
2320	Captains Flat	WIN Digital Television	D	COFDM	Captains Flat	11/10/2021 7:00
